cuda:1
carpet
train image number:280
test image number:117
iter [18/2000], loss:1.1278
iter [36/2000], loss:0.7305
iter [54/2000], loss:0.7067
iter [72/2000], loss:0.6946
iter [90/2000], loss:0.6860
iter [108/2000], loss:0.6802
iter [126/2000], loss:0.6776
iter [144/2000], loss:0.6779
iter [162/2000], loss:0.6806
iter [180/2000], loss:0.6830
iter [198/2000], loss:0.6866
iter [216/2000], loss:0.6895
iter [234/2000], loss:0.6890
Pixel Auroc:0.993, Sample Auroc:1.000, Pixel Aupro:0.98
iter [252/2000], loss:0.6875
iter [270/2000], loss:0.6861
iter [288/2000], loss:0.6851
iter [306/2000], loss:0.6832
iter [324/2000], loss:0.6831
iter [342/2000], loss:0.6797
iter [360/2000], loss:0.6769
iter [378/2000], loss:0.6747
iter [396/2000], loss:0.6728
iter [414/2000], loss:0.6707
iter [432/2000], loss:0.6693
iter [450/2000], loss:0.6689
iter [468/2000], loss:0.6681
iter [486/2000], loss:0.6679
Pixel Auroc:0.992, Sample Auroc:0.999, Pixel Aupro:0.979
iter [504/2000], loss:0.6681
iter [522/2000], loss:0.6662
iter [540/2000], loss:0.6674
iter [558/2000], loss:0.6667
iter [576/2000], loss:0.6702
iter [594/2000], loss:0.6680
iter [612/2000], loss:0.6680
iter [630/2000], loss:0.6757
iter [648/2000], loss:0.6663
iter [666/2000], loss:0.6762
iter [684/2000], loss:0.6756
iter [702/2000], loss:0.6786
iter [720/2000], loss:0.6857
iter [738/2000], loss:0.6618
Pixel Auroc:0.992, Sample Auroc:0.998, Pixel Aupro:0.979
iter [756/2000], loss:0.6912
iter [774/2000], loss:0.6571
iter [792/2000], loss:0.6521
iter [810/2000], loss:0.6552
iter [828/2000], loss:0.6673
iter [846/2000], loss:0.7012
iter [864/2000], loss:0.6561
iter [882/2000], loss:0.6491
iter [900/2000], loss:0.6738
iter [918/2000], loss:0.6788
iter [936/2000], loss:0.6523
iter [954/2000], loss:0.6469
iter [972/2000], loss:0.6621
iter [990/2000], loss:0.6530
Pixel Auroc:0.989, Sample Auroc:0.994, Pixel Aupro:0.971
iter [1008/2000], loss:0.6497
iter [1026/2000], loss:0.6996
iter [1044/2000], loss:0.7267
iter [1062/2000], loss:0.6725
iter [1080/2000], loss:0.6683
iter [1098/2000], loss:0.6732
iter [1116/2000], loss:0.6628
iter [1134/2000], loss:0.6931
